,Accuracy,F1-Score,Diff (Acc - F1)
VADER,0.7468591085851032,0.7450298282756374,0.0018292803094658305
SVM,0.835103200717918,0.8351964040477126,-9.320332979456669e-05
RoBERTa,0.9368830391863595,0.9357799009008939,0.0011031382854655991
